Year,Month,BCEMAN Monthly Sum,OCEMAN Monthly Sum,SO2EMAN Monthly Sum,SO4EMAN Monthly Sum
2000,11,4.25940224348e-09,9.43470038625e-09,1.65323680304e-07,7.908105780720003e-09
2000,12,4.26663575858e-09,9.449982637100001e-09,1.6441453004819998e-07,7.867741548320002e-09
2001,1,4.273991451619999e-09,9.465510759920002e-09,1.634963396194e-07,7.82671861786e-09
2001,2,4.2809904023700005e-09,9.480290325770004e-09,1.6261633399490007e-07,7.78767236269e-09
2001,3,4.2879882776100006e-09,9.495071665480004e-09,1.617366406046e-07,7.748625287319998e-09
2001,4,4.29522638002e-09,9.51035270543e-09,1.608252719072e-07,7.708264270200001e-09
2001,5,4.302460275119999e-09,9.525635392750003e-09,1.5991706753190002e-07,7.667899124430002e-09
2001,6,4.30969739851e-09,9.540909345779995e-09,1.5901332691850002e-07,7.627515987130001e-09
2001,7,4.316112445510001e-09,9.55316456368e-09,1.580958131339e-07,7.586119414979997e-09
2001,8,4.321575517480001e-09,9.56173091027e-09,1.5714926503279998e-07,7.542699138280001e-09
2001,9,4.32694743245e-09,9.570148738279998e-09,1.562071593316e-07,7.499975278080003e-09
2001,10,4.3323180745499984e-09,9.578555421870002e-09,1.552696292807001e-07,7.45723571018e-09
2001,11,4.3376889048e-09,9.58697525204e-09,1.5433329087580002e-07,7.414511450779999e-09
2001,12,4.343060393820001e-09,9.59538450113e-09,1.5340177030989995e-07,7.37178903671e-09
2002,1,4.348522795169999e-09,9.603943450350004e-09,1.5246063198639998e-07,7.32835690583e-09
2002,2,4.3537140906900015e-09,9.61207458549e-09,1.5155943765859994e-07,7.2870323290699976e-09
2002,3,4.358910919749999e-09,9.620216708129997e-09,1.5065828021830007e-07,7.245699873930001e-09
2002,4,4.3642813181200015e-09,9.628627537729999e-09,1.497246895009001e-07,7.202969759760001e-09
2002,5,4.3696553833400015e-09,9.637044646980002e-09,1.4879358071300006e-07,7.1602412664800005e-09
2002,6,4.375023222019999e-09,9.64545624425e-09,1.4786672224000002e-07,7.117522457130001e-09
2002,7,4.380913807799998e-09,9.65441731582e-09,1.473254672651e-07,7.092952553919998e-09
2002,8,4.3875902423299994e-09,9.664264474999996e-09,1.4729827240029994e-07,7.0923687999899986e-09
2002,9,4.39416423732e-09,9.67394873572e-09,1.4726337470450006e-07,7.091951264049998e-09
2002,10,4.400735064439999e-09,9.683638739769998e-09,1.4723302280090002e-07,7.091509225039999e-09
2002,11,4.407308545129999e-09,9.693331561770004e-09,1.4720395011109994e-07,7.0910820608900025e-09
2002,12,4.413882161250002e-09,9.703015688939996e-09,1.4717925523310002e-07,7.090650677470001e-09
2003,1,4.420559720050002e-09,9.71285941998e-09,1.471600862988e-07,7.090217739549999e-09
2003,2,4.42691971339e-09,9.72223133559e-09,1.4713610642369998e-07,7.08978865738e-09
2003,3,4.433274533940002e-09,9.73160352391e-09,1.4711215546800006e-07,7.089366790569998e-09
2003,4,4.439851514299999e-09,9.74129269008e-09,1.4708507320970002e-07,7.088940889910002e-09
